City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2019-11-10 03:16:29,-33.02,27.91,64.4,88,75,10.29
1,Sao Geraldo Do Araguaia,BR,2019-11-10 03:16:29,-6.4,-48.55,76.32,74,38,2.98
2,Hobart,AU,2019-11-10 03:14:08,-42.88,147.33,63.0,36,0,17.22
3,Punta Arenas,CL,2019-11-10 03:14:08,-53.16,-70.91,42.8,60,1,17.22
4,Ushuaia,AR,2019-11-10 03:14:09,-54.81,-68.31,39.2,69,8,6.93
5,Guarumal,EC,2019-11-10 03:14:09,-1.88,-79.65,75.2,73,75,14.99
6,Busselton,AU,2019-11-10 03:16:31,-33.64,115.35,78.01,55,29,1.99
7,Bulgan,MN,2019-11-10 03:16:34,48.81,103.53,28.74,32,51,14.2
8,Torbay,CA,2019-11-10 03:14:20,47.66,-52.73,34.0,57,20,21.92
9,Seoul,KR,2019-11-10 03:14:09,37.57,126.98,55.4,54,100,10.29
10,Port Alfred,ZA,2019-11-10 03:16:34,-33.59,26.89,64.99,89,100,11.01
11,Ahipara,NZ,2019-11-10 03:16:34,-35.17,173.16,69.01,100,100,24.23
12,Telhara,IN,2019-11-10 03:16:35,21.03,76.85,75.4,58,0,4.81
13,Airai,TL,2019-11-10 03:14:10,-8.93,125.41,84.94,34,77,8.63
14,Praia,BR,2019-11-10 03:16:35,-20.25,-43.81,75.2,60,40,12.75
15,Albany,US,2019-11-10 03:11:04,42.65,-73.75,35.01,58,90,6.58
16,Carai,BR,2019-11-10 03:14:11,-17.19,-41.69,62.6,84,0,2.91
17,Meulaboh,ID,2019-11-10 03:14:12,4.14,96.13,80.42,80,97,4.9
18,Khatanga,RU,2019-11-10 03:14:12,71.98,102.47,-1.05,96,100,15.99
19,Saint George,GR,2019-11-10 03:14:12,39.45,22.34,55.4,93,40,2.33
20,Bathsheba,BB,2019-11-10 03:14:12,13.22,-59.52,80.6,83,75,18.34
21,Lebu,ET,2019-11-10 03:14:12,8.96,38.73,49.75,66,7,1.95
22,Georgetown,GY,2019-11-10 03:14:12,6.8,-58.16,82.4,94,20,4.7
23,Codrington,AU,2019-11-10 03:14:13,-28.95,153.24,84.99,14,0,10.29
24,Cape Town,ZA,2019-11-10 03:09:41,-33.93,18.42,64.0,87,59,9.17
25,Troitsko-Pechorsk,RU,2019-11-10 03:14:13,62.71,56.19,8.2,93,100,4.29
26,Japura,ID,2019-11-10 03:14:13,-0.42,102.29,91.2,55,83,1.81
27,Butaritari,KI,2019-11-10 03:14:14,3.07,172.79,84.78,62,73,0.31
28,Puerto Ayora,EC,2019-11-10 03:14:14,-0.74,-90.35,70.0,89,8,8.01
29,Bredasdorp,ZA,2019-11-10 03:14:08,-34.53,20.04,62.6,82,95,13.87
30,Ancud,CL,2019-11-10 03:14:14,-41.87,-73.83,51.8,93,100,4.7
31,Narsaq,GL,2019-11-10 03:14:15,60.91,-46.05,39.2,60,67,44.96
32,Bartlesville,US,2019-11-10 03:14:15,36.75,-95.98,57.2,76,1,4.7
33,Mandurah,AU,2019-11-10 03:14:15,-32.55,115.7,73.99,73,90,12.75
34,Colonelganj,IN,2019-11-10 03:14:16,27.13,81.7,75.78,50,0,3.98
35,Goure,NE,2019-11-10 03:14:16,13.98,10.27,81.0,15,0,1.99
36,Port Lincoln,AU,2019-11-10 03:14:16,-34.72,135.86,67.46,46,0,9.93
37,Vila Franca Do Campo,PT,2019-11-10 03:14:16,37.72,-25.43,59.0,87,20,5.82
38,Buckeye,US,2019-11-10 03:14:15,33.37,-112.58,73.99,37,1,6.93
39,Bluff,AU,2019-11-10 03:14:17,-23.58,149.07,86.54,9,27,3.89
40,Kaitangata,NZ,2019-11-10 03:14:17,-46.28,169.85,51.01,83,99,8.01
41,Qaanaaq,GL,2019-11-10 03:14:17,77.48,-69.36,-5.08,42,0,5.82
42,Te Anau,NZ,2019-11-10 03:14:17,-45.41,167.72,48.45,79,48,5.95
43,Mar Del Plata,AR,2019-11-10 03:14:17,-46.43,-67.52,47.79,68,97,16.71
44,Sao Filipe,CV,2019-11-10 03:14:18,14.9,-24.5,74.08,83,100,12.08
45,Pittsfield,US,2019-11-10 03:14:18,39.61,-90.81,48.2,65,1,3.36
46,Rio Gallegos,AR,2019-11-10 03:14:18,-51.62,-69.22,41.0,72,0,14.99
