City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,0,Punta Arenas,CL,2019-11-12 05:34:58,-53.16,-70.91,39.2,93,88,5.82,overcast clouds,0.0,0.0
1,1,Guerrero Negro,MX,2019-11-12 05:34:59,27.97,-114.04,62.02,91,0,7.65,clear sky,0.0,0.0
2,2,Saurimo,AO,2019-11-12 05:34:59,-9.66,20.4,68.5,92,62,5.14,light rain,0.31,0.0
3,3,Saskylakh,RU,2019-11-12 05:34:59,71.97,114.09,-17.99,95,44,7.58,scattered clouds,0.0,0.0
4,4,Cancun,MX,2019-11-12 05:33:28,21.17,-86.85,77.0,100,75,11.41,broken clouds,0.0,0.0
5,5,Dawlatabad,AF,2019-11-12 05:34:59,36.41,64.91,53.87,28,0,7.38,clear sky,0.0,0.0
6,6,Cockburn Town,TC,2019-11-12 05:32:56,21.46,-71.14,81.61,77,0,15.21,light rain,0.31,0.0
7,7,Cape Town,ZA,2019-11-12 05:30:19,-33.93,18.42,66.99,88,75,16.11,broken clouds,0.0,0.0
8,8,Hilo,US,2019-11-12 05:35:00,19.71,-155.08,80.6,69,90,3.36,overcast clouds,0.0,0.0
9,9,Busselton,AU,2019-11-12 05:35:00,-33.64,115.35,78.01,21,0,6.69,clear sky,0.0,0.0
10,10,Avera,US,2019-11-12 05:35:01,33.19,-82.53,60.01,76,40,3.36,scattered clouds,0.0,0.0
11,11,Jamestown,AU,2019-11-12 05:35:01,-33.21,138.6,60.91,38,0,21.41,clear sky,0.0,0.0
12,12,Caxito,BR,2019-11-12 05:35:01,-22.65,-42.51,73.4,83,90,9.17,overcast clouds,0.0,0.0
13,13,Hermanus,ZA,2019-11-12 05:35:01,-34.42,19.24,64.0,98,100,1.99,light rain,0.94,0.0
14,14,Kutum,SD,2019-11-12 05:35:01,14.2,24.66,67.82,17,5,2.93,clear sky,0.0,0.0
15,15,Kwinana,AU,2019-11-12 05:30:44,-32.25,115.77,86.0,26,0,16.11,clear sky,0.0,0.0
16,16,Bertoua,CM,2019-11-12 05:35:02,4.58,13.68,71.49,88,100,1.54,light rain,1.13,0.0
17,17,Buluang,PH,2019-11-12 05:35:02,10.47,123.98,80.6,78,90,17.22,shower rain,0.0,0.0
18,18,Upernavik,GL,2019-11-12 05:35:02,72.79,-56.15,26.1,64,89,3.89,overcast clouds,0.0,0.0
19,19,Northam,AU,2019-11-12 05:35:03,-31.65,116.67,84.2,23,0,10.29,clear sky,0.0,0.0
20,20,Arraial Do Cabo,BR,2019-11-12 05:35:03,-22.97,-42.02,73.4,83,90,9.17,overcast clouds,0.0,0.0
21,21,Mount Isa,AU,2019-11-12 05:35:03,-20.73,139.49,100.4,7,23,9.17,few clouds,0.0,0.0
22,22,Rikitea,PF,2019-11-12 05:35:03,-23.12,-134.97,70.5,87,100,26.62,moderate rain,5.75,0.0
23,23,Alushta,UA,2019-11-12 05:35:03,44.68,34.41,61.59,79,100,10.18,overcast clouds,0.0,0.0
24,24,Bethel,US,2019-11-12 05:30:05,60.79,-161.76,37.4,93,90,5.82,overcast clouds,0.0,0.0
25,25,Ushuaia,AR,2019-11-12 05:35:04,-54.81,-68.31,44.6,87,40,11.41,scattered clouds,0.0,0.0
26,26,Coahuayana,MX,2019-11-12 05:35:04,18.62,-100.35,72.16,86,8,2.21,clear sky,0.0,0.0
27,27,Barrow,AR,2019-11-12 05:35:05,-38.31,-60.23,57.06,94,100,11.86,light rain,1.19,0.0
28,28,Kapaa,US,2019-11-12 05:35:05,22.08,-159.32,75.2,94,75,6.93,broken clouds,0.0,0.0
29,29,Bredasdorp,ZA,2019-11-12 05:35:05,-34.53,20.04,62.6,93,100,16.11,moderate rain,4.56,0.0
30,30,Samarkand,UZ,2019-11-12 05:35:05,39.65,66.98,41.0,37,0,4.7,clear sky,0.0,0.0
31,31,Longyearbyen,NO,2019-11-12 05:35:05,78.22,15.63,32.0,98,75,16.11,freezing rain,0.0,0.0
32,32,Atuona,PF,2019-11-12 05:35:06,-9.8,-139.03,79.95,65,0,4.25,clear sky,0.0,0.0
33,33,Saint-Philippe,CA,2019-11-12 05:35:06,45.36,-73.48,19.99,85,90,16.11,light snow,0.0,0.0
34,34,Aksha,RU,2019-11-12 05:35:06,50.28,113.29,13.3,40,100,16.33,overcast clouds,0.0,0.0
35,35,Tasiilaq,GL,2019-11-12 05:29:55,65.61,-37.64,35.6,80,100,35.57,light rain,0.0,0.0
36,36,Ketchikan,US,2019-11-12 05:35:07,55.34,-131.65,51.8,87,90,13.87,moderate rain,0.0,0.0
37,37,Khatanga,RU,2019-11-12 05:35:07,71.98,102.47,-5.91,98,97,7.0,light snow,0.0,0.13
38,38,Tuktoyaktuk,CA,2019-11-12 05:35:07,69.44,-133.03,3.2,84,90,14.99,light snow,0.0,0.0
39,39,Talnakh,RU,2019-11-12 05:35:07,69.49,88.39,1.4,84,40,2.24,light snow,0.0,0.0
40,40,Avarua,CK,2019-11-12 05:35:08,-21.21,-159.78,75.2,83,48,10.29,scattered clouds,0.0,0.0
41,41,Sines,PT,2019-11-12 05:35:08,37.96,-8.87,55.0,83,17,13.0,few clouds,0.0,0.0
42,42,Cidreira,BR,2019-11-12 05:35:08,-30.17,-50.22,69.1,82,66,26.08,light rain,0.75,0.0
43,43,Albany,US,2019-11-12 05:33:12,42.65,-73.75,43.0,80,90,6.93,overcast clouds,0.0,0.0
44,44,Manggar,ID,2019-11-12 05:35:08,-2.88,108.27,85.21,70,80,10.29,broken clouds,0.0,0.0
45,45,Kilindoni,TZ,2019-11-12 05:35:09,-7.91,39.67,80.62,69,30,4.72,scattered clouds,0.0,0.0
46,46,Mataura,NZ,2019-11-12 05:35:09,-46.19,168.86,57.99,64,38,3.0,scattered clouds,0.0,0.0
47,47,Vaini,IN,2019-11-12 05:35:09,15.34,74.49,80.6,61,40,9.17,scattered clouds,0.0,0.0
48,48,Butaritari,KI,2019-11-12 05:35:09,3.07,172.79,81.66,75,100,5.93,overcast clouds,0.0,0.0
49,49,Sabha,LY,2019-11-12 05:35:10,27.03,14.43,56.16,40,100,12.46,overcast clouds,0.0,0.0
50,50,Novyye Gorki,RU,2019-11-12 05:35:10,56.73,41.06,45.32,92,100,10.98,light rain,0.94,0.0
51,51,Chuy,UY,2019-11-12 05:35:10,-33.69,-53.46,60.26,83,7,10.51,clear sky,0.0,0.0
52,52,Nikolskoye,RU,2019-11-12 05:35:10,59.7,30.79,35.6,93,90,15.66,light intensity drizzle,0.0,0.0
53,53,Bindura,ZW,2019-11-12 05:35:10,-17.3,31.33,78.75,51,61,9.53,broken clouds,0.0,0.0
54,54,Aksarka,RU,2019-11-12 05:35:11,66.56,67.8,-1.57,98,85,9.64,overcast clouds,0.0,0.0
55,55,Port Lincoln,AU,2019-11-12 05:35:11,-34.72,135.86,60.01,49,81,19.69,broken clouds,0.0,0.0
56,56,Grindavik,IS,2019-11-12 05:35:11,63.84,-22.43,39.2,93,75,10.29,broken clouds,0.0,0.0
57,57,Qaqortoq,GL,2019-11-12 05:35:11,60.72,-46.03,30.2,80,100,2.24,snow,0.0,1.88
58,58,Faya,SA,2019-11-12 05:35:11,18.39,42.45,62.6,50,0,3.36,clear sky,0.0,0.0
59,59,East London,ZA,2019-11-12 05:35:12,-33.02,27.91,66.2,100,90,12.75,light rain,0.0,0.0
60,60,Ilulissat,GL,2019-11-12 05:35:12,69.22,-51.1,37.4,34,93,19.46,overcast clouds,0.0,0.0
61,61,Hithadhoo,MV,2019-11-12 05:31:41,-0.6,73.08,82.18,80,47,14.12,scattered clouds,0.0,0.0
62,62,Victor Harbor,AU,2019-11-12 05:35:12,-35.55,138.62,64.0,44,75,20.8,broken clouds,0.0,0.0
63,63,Progreso,UY,2019-11-12 05:35:13,-34.68,-56.22,63.0,77,11,6.93,few clouds,0.0,0.0
64,64,Cape Coast,GH,2019-11-12 05:35:13,5.11,-1.24,81.32,80,7,10.29,light rain,1.31,0.0
65,65,Krasnouralsk,RU,2019-11-12 05:35:13,58.36,60.04,34.56,91,100,6.2,overcast clouds,0.0,0.0
66,66,Alofi,NU,2019-11-12 05:35:13,-19.06,-169.92,77.0,78,52,4.7,broken clouds,0.0,0.0
67,67,Opuwo,,2019-11-12 05:35:14,-18.06,13.84,74.52,30,88,6.67,overcast clouds,0.0,0.0
68,68,Nabire,ID,2019-11-12 05:35:14,-3.36,135.5,89.55,53,58,4.94,broken clouds,0.0,0.0
69,69,Smidovich,RU,2019-11-12 05:35:14,48.6,133.81,25.75,53,0,19.69,clear sky,0.0,0.0
70,70,Dikson,RU,2019-11-12 05:35:14,73.51,80.55,3.33,91,35,6.89,scattered clouds,0.0,0.0
71,71,Grand Baie,MU,2019-11-12 05:35:15,-20.02,57.58,80.6,74,40,12.75,shower rain,0.0,0.0
72,72,Ust-Ilimsk,RU,2019-11-12 05:35:15,57.96,102.73,-3.63,87,100,9.53,light snow,0.0,0.13
73,73,Yeppoon,AU,2019-11-12 05:35:15,-23.13,150.74,91.4,29,4,13.87,clear sky,0.0,0.0
74,74,Roma,IT,2019-11-12 05:30:25,41.89,12.48,59.0,87,40,5.82,scattered clouds,0.0,0.0
75,75,Yazd,IR,2019-11-12 05:35:15,31.89,54.36,51.8,20,0,6.02,clear sky,0.0,0.0
76,76,Fonte Boa,BR,2019-11-12 05:35:16,-2.51,-66.09,73.45,99,100,3.18,moderate rain,6.81,0.0
77,77,Farnborough,AU,2019-11-12 05:35:16,-23.08,150.74,91.4,29,4,13.87,clear sky,0.0,0.0
78,78,Cap Malheureux,MU,2019-11-12 05:35:16,-19.98,57.61,80.6,74,40,12.75,shower rain,0.0,0.0
79,79,Mobaye,CF,2019-11-12 05:35:16,4.33,21.18,73.92,91,99,4.29,overcast clouds,0.0,0.0
80,80,Orumiyeh,IR,2019-11-12 05:34:11,37.55,45.08,39.2,51,0,6.93,clear sky,0.0,0.0
81,81,Gisborne,NZ,2019-11-12 05:35:17,-38.66,178.02,60.01,63,100,3.0,light rain,1.88,0.0
82,82,Port Alfred,ZA,2019-11-12 05:35:17,-33.59,26.89,66.99,96,99,5.99,light rain,0.69,0.0
83,83,Cherskiy,RU,2019-11-12 05:35:18,68.75,161.3,16.72,81,79,2.15,broken clouds,0.0,0.0
84,84,Kostino,BG,2019-11-12 05:35:18,41.7,25.3,57.0,100,90,1.61,fog,0.0,0.0
85,85,Faanui,PF,2019-11-12 05:35:18,-16.48,-151.75,79.27,79,3,17.78,clear sky,0.0,0.0
86,86,Puerto Ayora,EC,2019-11-12 05:34:03,-0.74,-90.35,70.0,86,0,5.01,clear sky,0.0,0.0
87,87,Ribeira Grande,PT,2019-11-12 05:35:19,38.52,-28.7,61.21,82,47,8.63,scattered clouds,0.0,0.0
88,88,Bluff,AU,2019-11-12 05:35:19,-23.58,149.07,93.47,14,3,1.28,clear sky,0.0,0.0
89,89,Adra,ES,2019-11-12 05:35:20,36.75,-3.02,59.0,44,4,9.17,clear sky,0.0,0.0
90,90,Marienburg,DE,2019-11-12 05:35:20,52.12,9.98,41.0,80,20,11.41,few clouds,0.0,0.0
91,91,Port Hawkesbury,CA,2019-11-12 05:35:20,45.62,-61.36,37.99,74,90,4.7,overcast clouds,0.0,0.0
92,92,Teguise,ES,2019-11-12 05:35:21,29.06,-13.56,68.0,82,40,23.04,scattered clouds,0.0,0.0
93,93,Pinega,RU,2019-11-12 05:35:21,64.7,43.39,21.54,94,100,12.01,snow,0.0,3.44
94,94,Ha Giang,VN,2019-11-12 05:35:21,22.83,104.99,73.53,53,1,4.94,clear sky,0.0,0.0
95,95,Port Moresby,PG,2019-11-12 05:35:21,-9.47,147.16,84.2,74,40,11.41,scattered clouds,0.0,0.0
96,96,Vanavara,RU,2019-11-12 05:35:22,60.35,102.28,-8.45,91,100,8.01,light snow,0.0,0.13
97,97,Ancud,CL,2019-11-12 05:35:22,-41.87,-73.83,46.4,100,90,3.36,overcast clouds,0.0,0.0
98,98,Banda Aceh,ID,2019-11-12 05:35:22,5.56,95.32,84.61,66,100,5.12,light rain,2.5,0.0
99,99,Cajati,BR,2019-11-12 05:35:22,-24.73,-48.11,67.01,99,100,2.53,light rain,0.87,0.0
